terpenecount
15.1
14.8
12.5
13.6
9.2
16.2
9.8
13.6
10.8
15.0
9.1
14.2
14.2
16.8
13.0
17.4
10.1
15.5
12.7
15.4
11.8
12.7
14.1
10.5
9.7
10.8
15.8
9.8
14.1
16.3
9.9
16.6
16.8
14.9
11.2
13.6
12.1
14.3
10.5
14.3
11.6
15.5
14.0
14.3
13.6
11.8
12.9
14.8
15.3
12.2
12.1
9.8
16.7
10.8
17.2
11.1
13.1
12.9
13.6
13.0
14.8
12.7
10.7
9.5
9.2
12.5
13.3
10.7
12.6
14.1
10.7
16.1
13.4
10.4
14.6
12.3
9.4
10.6
9.0
12.2
14.4
16.1
13.1
9.4
13.7
16.1
11.1
15.1
10.1
15.9
12.5
13.0
16.5
11.9
10.5
12.3
15.7
9.6
9.5
13.9
